Equipes
pos;Nom équipe;Temps
1;GSFM;01:52:32.52
;Montagnat-Rentier Alexis;36:28.58
;Pagani Livio;37:24.47
;Vadot Nicolas;38:39.47
;Baume Yann;51:26.75
2;GOFASTA;01:54:53.95
;Cagnon Bryan;37:09.65
;Jacquat Yanis;37:17.82
;Vallat Artiom;40:26.48
;Arnaboldi  Nathan ;43:46.37
;Pretalli Loris;48:21.62
;Pretalli Florian;49:59.27
3;TEAM LA VALLÉE 1;01:56:54.95
;Beuret Philippe;35:07.89
;Joray Antoine;40:41.19
;Caroli Alizée;41:05.87
;Parrat Philippe;42:42.99
4;TEAM LA VALLÉE 2;02:00:33.87
;Fleury Théo;35:29.75
;Keller Grégoire;39:33.20
;Eschmann Olivier;45:30.92
5;CSS TEAM JURA;02:17:10.30
;Cecconi  Leonardo ;45:23.51
;De luca Mirco;45:45.74
;Menozzi Marc;46:01.05
;Tico Luka;46:27.32
;Ferrara Agostino;48:55.55
6;TEAM UHC AJOIE;02:22:22.31
;Frund Aurélien ;43:01.86
;Heusler Raphaël;46:50.93
;Bregnard  Charles ;52:29.52
;Choffat Kevin;52:40.01
7;MNARUNING CLUB;02:31:28.98
;Musavi Seyed najibollah;46:35.64
;Moradi Abdullah;47:50.16
;H che Pauline;57:03.18
